Date,Time (UTC),TX hash,TX inner instructions,TX Link,Source,Destination,Source token account,Destination token account,Amount,Token Symbol,Token mint,Queried address,Counter address,Amount direction,Fee (SOL),Instruction type,Queried address group,Queried address tag,Queried address Device,Queried own wallet,Counter address group,Counter address tag,Counter address Device,Counter own wallet,TX device check,Internal TX check,Payment to provider
08/11/2022, 00:44:44,4NM7EaJEHyqLXLx4ygXhxcUqcSJAbSSgdSqofg1CQgqrGyKNY5ewLosWJM874MwbNuknn3DU45oT4h1CuZDyzu95,2.1,https://solscan.io/tx/4NM7EaJEHyqLXLx4ygXhxcUqcSJAbSSgdSqofg1CQgqrGyKNY5ewLosWJM874MwbNuknn3DU45oT4h1CuZDyzu95,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,BjFEKSHapQoEjZYfE6hU1FEkQkrSf4imm8oarw5XBHKN,F6N1hvh3MjBrDpS9AeR5p9LjEjLhonVBN3NLYHRiJCfZ,BjFEKSHapQoEjZYfE6hU1FEkQkrSf4imm8oarw5XBHKN,0,MBS,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,BjFEKSHapQoEjZYfE6hU1FEkQkrSf4imm8oarw5XBHKN,-0,,transfer,,,,,,,,,,,
08/11/2022, 00:44:44,4NM7EaJEHyqLXLx4ygXhxcUqcSJAbSSgdSqofg1CQgqrGyKNY5ewLosWJM874MwbNuknn3DU45oT4h1CuZDyzu95,2.2,https://solscan.io/tx/4NM7EaJEHyqLXLx4ygXhxcUqcSJAbSSgdSqofg1CQgqrGyKNY5ewLosWJM874MwbNuknn3DU45oT4h1CuZDyzu95,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,Fghh8nP2XmPSmrG2i1W67A1HcUR35J4VppCzyt6i5PtG,5TyBDqtSukEYEbkC8pXj7tGf9Zu2H4xDdpuw35jgDMWR,Fghh8nP2XmPSmrG2i1W67A1HcUR35J4VppCzyt6i5PtG,1,ML,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,Fghh8nP2XmPSmrG2i1W67A1HcUR35J4VppCzyt6i5PtG,-1,,transfer,,,,,,,,,,,
06/11/2022, 12:23:25,5QYxWhp8kzvWLcF5Kab1PNR8K5pjEUcTw9uzVnedGQxSDi73r3CSte25hJD2hEijk4E7DLkqruUE95BSxeGiPCiR,1.2,https://solscan.io/tx/5QYxWhp8kzvWLcF5Kab1PNR8K5pjEUcTw9uzVnedGQxSDi73r3CSte25hJD2hEijk4E7DLkqruUE95BSxeGiPCiR,FwmtBdHJU5g1X7r2wStFUwQ2iMEZPk6WHhxJh8p7VqxT,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
06/11/2022, 12:23:25,5QYxWhp8kzvWLcF5Kab1PNR8K5pjEUcTw9uzVnedGQxSDi73r3CSte25hJD2hEijk4E7DLkqruUE95BSxeGiPCiR,2,https://solscan.io/tx/5QYxWhp8kzvWLcF5Kab1PNR8K5pjEUcTw9uzVnedGQxSDi73r3CSte25hJD2hEijk4E7DLkqruUE95BSxeGiPCiR,FwmtBdHJU5g1X7r2wStFUwQ2iMEZPk6WHhxJh8p7VqxT,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,3dH7DPoKfV6hZxqMdjQv8C4naLAU789fX6PaAoRhv4WR,2oKZ74piomThWECCTMzycofUYVfyffgY75Ckbt9dnrp7,1,ML,4NjKBA4mw35fjmkgAwqjCYqUPcvtY8dcmKFKX1k1znJD,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,transferChecked,,,,,,,,,,,
31/10/2022, 20:39:54,53yyd9BsZXtVfDmZCviXqhHhV4fjQjb2KM2VXuTcMkiVL8A2JRmpF7UzwWFgUchD8xUsEEZeToVZKWWhsSYnzRrx,2.1,https://solscan.io/tx/53yyd9BsZXtVfDmZCviXqhHhV4fjQjb2KM2VXuTcMkiVL8A2JRmpF7UzwWFgUchD8xUsEEZeToVZKWWhsSYnzRrx,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,BjFEKSHapQoEjZYfE6hU1FEkQkrSf4imm8oarw5XBHKN,F6N1hvh3MjBrDpS9AeR5p9LjEjLhonVBN3NLYHRiJCfZ,BjFEKSHapQoEjZYfE6hU1FEkQkrSf4imm8oarw5XBHKN,0,MBS,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,BjFEKSHapQoEjZYfE6hU1FEkQkrSf4imm8oarw5XBHKN,-0,,transfer,,,,,,,,,,,
31/10/2022, 20:39:54,53yyd9BsZXtVfDmZCviXqhHhV4fjQjb2KM2VXuTcMkiVL8A2JRmpF7UzwWFgUchD8xUsEEZeToVZKWWhsSYnzRrx,2.2,https://solscan.io/tx/53yyd9BsZXtVfDmZCviXqhHhV4fjQjb2KM2VXuTcMkiVL8A2JRmpF7UzwWFgUchD8xUsEEZeToVZKWWhsSYnzRrx,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,Fghh8nP2XmPSmrG2i1W67A1HcUR35J4VppCzyt6i5PtG,5TyBDqtSukEYEbkC8pXj7tGf9Zu2H4xDdpuw35jgDMWR,Fghh8nP2XmPSmrG2i1W67A1HcUR35J4VppCzyt6i5PtG,1,ML,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,Fghh8nP2XmPSmrG2i1W67A1HcUR35J4VppCzyt6i5PtG,-1,,transfer,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,1.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,H2mcFEbpa39B6gGriNvZQ8vdEyEqanGQ7SKsomVK8nmC,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,45LoPC3SfVtVy6eLX7n4cC5CwZXxS1mhPaT3r5D4VbN1,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,H2mcFEbpa39B6gGriNvZQ8vdEyEqanGQ7SKsomVK8nmC,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,3.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,4,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,5TyBDqtSukEYEbkC8pXj7tGf9Zu2H4xDdpuw35jgDMWR,3,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,5.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,6,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HCZy58gWZ6KATefZWxcim9Lkx1gXXfjwausfLwxUsNdE,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,3qXMotSVDXDspE5ywSg9a256H17nGEgbZo2HzZpkjaFZ,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HCZy58gWZ6KATefZWxcim9Lkx1gXXfjwausfLwxUsNdE,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,7.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,8,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HfeRhqcA8H2fXogefdkoiJaNPzcqyE1TGh34yRbtSxhQ,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,7NkXqwSVr69rhrcLDGg8y4ZkicatyuDhCizjUCoFmKKm,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HfeRhqcA8H2fXogefdkoiJaNPzcqyE1TGh34yRbtSxhQ,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,10,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HFWp1tgrRhN27pGWJ4hufg9HpP8aACFbN43Srp4iiAqW,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,Df7ZWdgkLripfywFSyvWhqNZcCeyyzGN1wRExLtGugGW,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HFWp1tgrRhN27pGWJ4hufg9HpP8aACFbN43Srp4iiAqW,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,11.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,12,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HhqqSH5uf1jxKFf9tNLvvtaYPP6gxcahNJ3118otD8B5,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,GzAHBuV4ZdwwviBsv5WatEiSheVokaCQxXU1nBWQPLdy,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HhqqSH5uf1jxKFf9tNLvvtaYPP6gxcahNJ3118otD8B5,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,13.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,14,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HNCvv49K6nDVuZybK7LgubDwMizaGMb61hM2cTH6KV7n,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,5W7ZhSxYuLcKSLD3MYU5R6TFgpnYYknwob5g9CGvfBVj,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HNCvv49K6nDVuZybK7LgubDwMizaGMb61hM2cTH6KV7n,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,15.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
