Date,Time (UTC),TX hash,TX inner instructions,TX Link,Source,Destination,Source token account,Destination token account,Amount,Token Symbol,Token mint,Queried address,Counter address,Amount direction,Fee (SOL),Instruction type,Queried address group,Queried address tag,Queried address Device,Queried own wallet,Counter address group,Counter address tag,Counter address Device,Counter own wallet,TX device check,Internal TX check,Payment to provider
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,16,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HPERh7ejEVm1XoQ4bAJhSst6rWjbMmVhX8ShYuQdXXPt,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,8Kd5WjqzrPQyxEmPjTncFj2cqHwCp8aaevRdnAyzk9x8,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HPERh7ejEVm1XoQ4bAJhSst6rWjbMmVhX8ShYuQdXXPt,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,17.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,18,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HQJMZFo92S8EnJreB2grgiTquxXDWrp5iuWj6fRDgmux,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,BgBYBrMs8RZMDCuAE1HZjzACMLSKbxaMgrxf8BiqcZMt,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HQJMZFo92S8EnJreB2grgiTquxXDWrp5iuWj6fRDgmux,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,19.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,20,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HT4kYsE61SymC9uycr1mWCWtm2Lgvm6mSxiRq8GuARQG,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,6GJDeWyfoBpev8kModYXS4aKMnt9cTS9iU32xsMLbqWQ,1,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HT4kYsE61SymC9uycr1mWCWtm2Lgvm6mSxiRq8GuARQG,,,transferChecked,,,,,,,,,,,
22/10/2022, 22:48:43,5aPaVk45NurY8FWpZ8oEoaPbksuhtzJA1xnwBLYFaxgAFtstnDx3g9s17fHfycdcmXr2Edf8DBettJykYc1nNSUL,1,https://solscan.io/tx/5aPaVk45NurY8FWpZ8oEoaPbksuhtzJA1xnwBLYFaxgAFtstnDx3g9s17fHfycdcmXr2Edf8DBettJykYc1nNSUL,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,AgMAgM8ejsygsBLddHAw9Wnh6G6G9TBrij3hiDxoZcdE,F6N1hvh3MjBrDpS9AeR5p9LjEjLhonVBN3NLYHRiJCfZ,EoEnhMzo9ppQZ9MrNp6bXZhRjzTBw17srq9sBzkEJxrB,2680,MBS,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,AgMAgM8ejsygsBLddHAw9Wnh6G6G9TBrij3hiDxoZcdE,,-0.000005,transferChecked,,,,,,,,,,,
19/10/2022, 17:48:01,3ck8Ne34LmNDPg6Q6uzsYSChd2QhrrWoCJ4VVVzkLJASQ2ezq67NFXTZhGuHkJFWAW2fx743WhAM9MGcaFbGm2kS,1,https://solscan.io/tx/3ck8Ne34LmNDPg6Q6uzsYSChd2QhrrWoCJ4VVVzkLJASQ2ezq67NFXTZhGuHkJFWAW2fx743WhAM9MGcaFbGm2kS,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,Eaf4WQwiVeFW9WTJiErMhqMVSMpLXLUiECVeFtJEoy8F,,,0.1,SOL,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,-0.1,-0.000005,transfer,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,1.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,3.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,4,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,5.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,6,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,7.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,8,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,9.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,10,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,12,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,13.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,14,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,15.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,16,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,17.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,18,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,19.2,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
14/10/2022, 10:43:45,5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,20,https://solscan.io/tx/5vCq4sSBXXSdALYgQuZxrwqYEN7efPYYdPgxJhM9waDsek2Hs8Pb7nDdjRgWqeHPiZsmcnpU9cLCBVy8tmEAVMHD,,,,,,NFTMSG,8kzGUdmqy9ETJghqAMWzP1YBW1a8WAET83aRG8SnfxhC,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,mintTo,,,,,,,,,,,
